Baseline 100%T,,Baseline 0%T,,Quinine_Stock_Wavelength,Quinine_Stock_abs,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,
433.0011597,88.35848236,433.0011597,0.002283626469,433.0011597,0.0008523029392,
432.0022888,88.34120178,432.0022888,-0.00452642329,432.0022888,0.0008879675297,
431.0032043,88.40000153,431.0032043,-0.01447701827,431.0032043,0.001017214614,
430.0039368,88.42957306,430.0039368,-0.002378969919,430.0039368,0.001092077233,
429.0045166,88.41798401,429.0045166,-0.00458505284,429.0045166,0.00108883332,
428.0048828,88.42186737,428.0048828,0.01762036793,428.0048828,0.001049130224,
427.0050964,88.45515442,427.0050964,0,427.0050964,0.001295166439,
426.005127,88.44819641,426.005127,0.0077083176,426.005127,0.0009951605462,
425.0050354,88.51361084,425.0050354,0,425.0050354,0.001323363511,
424.0047302,88.49398041,424.0047302,0.01368223038,424.0047302,0.001200203085,
423.0042725,88.52282715,423.0042725,0.01933799684,423.0042725,0.001268554828,
422.0036316,88.50294495,422.0036316,0.006594131235,422.0036316,0.001309628249,
421.0028076,88.55479431,421.0028076,-0.01047485974,421.0028076,0.001462791697,
420.0018005,88.53126526,420.0018005,0,420.0018005,0.001158932457,
419.0006104,88.57388306,419.0006104,-0.003601397388,419.0006104,0.001363818767,
417.9993286,88.58995056,417.9993286,0,417.9993286,0.001416925341,
416.9978027,88.60256958,416.9978027,0.01145606581,416.9978027,0.00148351898,
415.9961243,88.62223816,415.9961243,0.002472371329,415.9961243,0.001440143562,
414.9942932,88.66719055,414.9942932,0.007821258157,414.9942932,0.001533341012,
413.9923096,88.68151093,413.9923096,-0.005403215066,413.9923096,0.001716131344,
412.9901123,88.74534607,412.9901123,0.01069518737,412.9901123,0.001828104025,
411.9877319,88.73893738,411.9877319,0.01990842074,411.9877319,0.001908306498,
410.9852295,88.77098846,410.9852295,-0.01195528731,410.9852295,0.002170439111,
409.9825745,88.86738586,409.9825745,0.01058033109,409.9825745,0.002416461008,
409.01828,88.86447906,409.01828,0.01556622144,409.01828,0.002477610717,
408.0152283,88.91534424,408.0152283,-0.01172436029,408.0152283,0.002918252489,
407.0120544,88.9145813,407.0120544,-0.01833180524,407.0120544,0.003045889549,
406.0087585,88.96652222,406.0087585,0.005707925651,406.0087585,0.003249007976,
405.005249,89.00321198,405.005249,0.01959412172,405.005249,0.003692652564,
404.0015259,89.06322479,404.0015259,-0.01045095921,404.0015259,0.003974830266,
402.9976807,89.1138382,402.9976807,0.00525527494,402.9976807,0.004627427086,
401.9936829,89.1187973,401.9936829,0.002867219038,401.9936829,0.005030449945,
400.989502,89.17728424,400.989502,-0.008701705374,400.989502,0.005547673441,
399.985199,89.22458649,399.985199,-0.006009073928,399.985199,0.006614802405,
399.0193481,89.28907013,399.0193481,-0.01859427243,399.0193481,0.007358045317,
398.014679,89.26117706,398.014679,-0.0030672024,398.014679,0.007844574749,
397.0098877,89.32861328,397.0098877,0.00585823087,397.0098877,0.009263092652,
396.0049133,89.35967255,396.0049133,0,396.0049133,0.01025706995,
394.9997559,89.38478851,394.9997559,-0.01670657657,394.9997559,0.01165757701,
393.9944763,89.44517517,393.9944763,0.0132893892,393.9944763,0.01329262555,
392.9889832,89.43095398,392.9889832,0.01581063494,392.9889832,0.01480505895,
391.9833679,89.42933655,391.9833679,0.00955885835,391.9833679,0.01678894646,
391.0162964,89.47275543,391.0162964,0,391.0162964,0.01916520484,
390.0103455,89.46600342,390.0103455,0.008924388327,390.0103455,0.02068659104,
389.0042725,89.45930481,389.0042725,0,389.0042725,0.02365834638,
387.9980164,89.46642303,387.9980164,0,387.9980164,0.02701658197,
386.9916077,89.47982788,386.9916077,-0.008206587285,386.9916077,0.03071329556,
385.9850464,89.43672943,385.9850464,0,385.9850464,0.03366462141,
385.0170288,89.41576385,385.0170288,0.002892932622,385.0170288,0.03761449084,
384.0101929,89.43035126,384.0101929,0.006282985676,384.0101929,0.04223902151,
383.0031433,89.36387634,383.0031433,0.01520958729,383.0031433,0.04759231582,
381.9959717,89.33429718,381.9959717,-0.01276405714,381.9959717,0.05285700411,
380.9886169,89.29456329,380.9886169,0.03563411161,380.9886169,0.05912732333,
379.9811401,89.2491684,379.9811401,0.003502995241,379.9811401,0.064939484,
379.0122375,89.23906708,379.0122375,0.01030325983,379.0122375,0.07232103497,
378.004425,89.15939331,378.004425,0.006170554087,378.004425,0.0808762908,
